,date_time,altimeter_set_1,wind_gust_set_1,pressure_set_1d,dew_point_temperature_set_1d,heat_index_set_1d,relative_humidity_set_1,wind_speed_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,101693.2,4.09,89357.81,1.18,33.02,11.0,0.0,100515.13,36.0,TAYC1,3533,-120.83583,40.07917
1,2018-08-01 01:00:00,101659.34,4.66,89328.06,-0.16,32.78,10.0,0.0,100483.97,35.94,TAYC1,3533,-120.83583,40.07917
2,2018-08-01 02:00:00,101659.34,3.66,89328.06,0.62,32.34,11.0,0.0,100508.97,35.28,TAYC1,3533,-120.83583,40.07917
3,2018-08-01 03:00:00,101659.34,2.78,89328.06,0.75,31.31,12.0,0.0,100560.11,33.94,TAYC1,3533,-120.83583,40.07917
4,2018-08-01 04:00:00,101727.07,2.89,89387.58,4.27,28.53,19.0,0.0,100764.88,30.39,TAYC1,3533,-120.83583,40.07917
5,2018-08-01 05:00:00,101760.93,1.59,89417.33,5.57,,29.0,0.0,101021.32,24.83,TAYC1,3533,-120.83583,40.07917
6,2018-08-01 06:00:00,101794.79,1.04,89447.08,5.44,,33.0,0.0,101148.52,22.56,TAYC1,3533,-120.83583,40.07917
7,2018-08-01 07:00:00,101862.52,1.22,89506.6,7.01,,41.0,0.0,101289.41,20.8,TAYC1,3533,-120.83583,40.07917
8,2018-08-01 08:00:00,101896.38,0.58,89536.35,8.83,,53.0,0.0,101413.82,18.66,TAYC1,3533,-120.83583,40.07917
9,2018-08-01 09:00:00,101896.38,0.36,89536.35,7.02,,50.0,0.0,101458.14,17.63,TAYC1,3533,-120.83583,40.07917
10,2018-08-01 10:00:00,101930.25,0.97,89566.11,6.6,,54.0,0.0,101563.87,15.97,TAYC1,3533,-120.83583,40.07917
11,2018-08-01 11:00:00,101930.25,0.75,89566.11,6.79,,61.0,0.0,101638.5,14.27,TAYC1,3533,-120.83583,40.07917
12,2018-08-01 12:00:00,101930.25,0.65,89566.11,6.52,,69.0,0.0,101735.59,12.09,TAYC1,3533,-120.83583,40.07917
13,2018-08-01 13:00:00,101930.25,0.44,89566.11,6.65,,74.0,0.0,101777.47,11.16,TAYC1,3533,-120.83583,40.07917
14,2018-08-01 14:00:00,101964.11,0.09,89595.86,6.27,,76.0,0.0,101847.57,10.36,TAYC1,3533,-120.83583,40.07917
15,2018-08-01 15:00:00,101997.98,0.2,89625.62,5.52,,75.0,0.0,101907.42,9.79,TAYC1,3533,-120.83583,40.07917
16,2018-08-01 16:00:00,101997.98,0.56,89625.62,6.85,,74.0,0.0,101836.04,11.36,TAYC1,3533,-120.83583,40.07917
17,2018-08-01 17:00:00,101997.98,0.64,89625.62,7.47,,59.0,0.0,101651.43,15.51,TAYC1,3533,-120.83583,40.07917
18,2018-08-01 18:00:00,101964.11,1.26,89595.86,7.06,,44.0,0.0,101436.54,19.71,TAYC1,3533,-120.83583,40.07917
19,2018-08-01 19:00:00,101896.38,1.29,89536.35,6.65,,34.0,0.0,101212.92,23.44,TAYC1,3533,-120.83583,40.07917
20,2018-08-01 20:00:00,101828.66,1.64,89476.84,6.85,26.63,27.0,0.0,100980.28,27.5,TAYC1,3533,-120.83583,40.07917
21,2018-08-01 21:00:00,101760.93,2.12,89417.33,6.83,29.11,22.0,0.0,100776.72,30.94,TAYC1,3533,-120.83583,40.07917
22,2018-08-01 22:00:00,101693.2,5.17,89357.81,4.67,31.5,16.0,0.0,100597.69,33.83,TAYC1,3533,-120.83583,40.07917
23,2018-08-01 23:00:00,101693.2,7.52,89357.81,-0.84,31.97,10.0,0.0,100550.85,35.06,TAYC1,3533,-120.83583,40.07917
24,2018-08-02 00:00:00,101625.47,6.22,89298.3,-1.06,31.73,10.0,0.0,100494.56,34.78,TAYC1,3533,-120.83583,40.07917
25,2018-08-02 01:00:00,101625.47,6.32,89298.3,2.25,31.93,13.0,0.0,100507.43,34.44,TAYC1,3533,-120.83583,40.07917
26,2018-08-02 02:00:00,101625.47,5.69,89298.3,1.59,31.17,13.0,0.0,100539.25,33.61,TAYC1,3533,-120.83583,40.07917
27,2018-08-02 03:00:00,101625.47,5.64,89298.3,1.23,29.68,14.0,0.0,100605.73,31.89,TAYC1,3533,-120.83583,40.07917
28,2018-08-02 04:00:00,101693.2,5.28,89357.81,2.54,27.58,18.0,0.0,100777.56,29.22,TAYC1,3533,-120.83583,40.07917
