,date_time,wind_cardinal_direction_set_1d,wind_gust_set_1,wind_direction_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
58,2018-08-03 10:00:00,WNW,9.47,295.8,6.1,12.49,MSGRB,7786,-122.1944,41.3456
59,2018-08-03 11:00:00,NW,9.47,307.9,5.89,12.99,MSGRB,7786,-122.1944,41.3456
60,2018-08-03 12:00:00,WNW,6.31,300.6,4.62,12.75,MSGRB,7786,-122.1944,41.3456
61,2018-08-03 13:00:00,WNW,6.31,292.5,3.84,11.76,MSGRB,7786,-122.1944,41.3456
62,2018-08-03 14:00:00,WNW,3.15,287.6,1.84,11.82,MSGRB,7786,-122.1944,41.3456
63,2018-08-03 15:00:00,E,3.15,84.9,1.0,14.57,MSGRB,7786,-122.1944,41.3456
64,2018-08-03 16:00:00,E,3.15,100.0,1.26,14.83,MSGRB,7786,-122.1944,41.3456
65,2018-08-03 17:00:00,ESE,3.15,123.2,1.37,14.79,MSGRB,7786,-122.1944,41.3456
66,2018-08-03 18:00:00,S,3.15,185.4,0.74,14.53,MSGRB,7786,-122.1944,41.3456
67,2018-08-03 19:00:00,W,3.15,266.1,1.94,14.27,MSGRB,7786,-122.1944,41.3456
68,2018-08-03 20:00:00,WSW,6.31,251.3,2.74,16.14,MSGRB,7786,-122.1944,41.3456
69,2018-08-03 21:00:00,WSW,6.31,239.0,3.42,16.94,MSGRB,7786,-122.1944,41.3456
70,2018-08-03 22:00:00,W,9.47,267.8,4.26,19.17,MSGRB,7786,-122.1944,41.3456
71,2018-08-03 23:00:00,WNW,9.47,281.4,5.68,19.33,MSGRB,7786,-122.1944,41.3456
72,2018-08-04 00:00:00,WNW,9.47,292.5,5.26,21.33,MSGRB,7786,-122.1944,41.3456
73,2018-08-04 01:00:00,WNW,9.47,301.0,5.05,19.49,MSGRB,7786,-122.1944,41.3456
74,2018-08-04 02:00:00,WNW,12.62,303.1,6.47,18.68,MSGRB,7786,-122.1944,41.3456
75,2018-08-04 03:00:00,WNW,9.47,295.9,4.94,18.09,MSGRB,7786,-122.1944,41.3456
76,2018-08-04 04:00:00,WNW,6.31,301.9,3.36,15.82,MSGRB,7786,-122.1944,41.3456
77,2018-08-04 05:00:00,WNW,3.15,292.4,1.11,13.76,MSGRB,7786,-122.1944,41.3456
78,2018-08-04 06:00:00,SW,3.15,221.7,1.52,13.24,MSGRB,7786,-122.1944,41.3456
79,2018-08-04 07:00:00,W,6.31,262.5,3.26,12.59,MSGRB,7786,-122.1944,41.3456
80,2018-08-04 08:00:00,WNW,6.31,295.1,3.1,12.14,MSGRB,7786,-122.1944,41.3456
81,2018-08-04 09:00:00,W,6.31,279.4,2.58,11.73,MSGRB,7786,-122.1944,41.3456
82,2018-08-04 10:00:00,W,3.15,269.3,2.1,11.62,MSGRB,7786,-122.1944,41.3456
