,date_time,wind_speed_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,dew_point_temperature_set_1d,pressure_set_1,altimeter_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,solar_radiation_set_1,precip_accum_ten_minute_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-07 18:10:00,1.65,ENE,5.5,-2.62,82130.0,102652.45,27.78,57.0,12.0,860.0,0.0,100681.35,29.67,UCCA,6040,-120.36306,39.24583
1,2018-08-07 18:20:00,1.16,E,4.42,-2.5,82120.0,102639.95,27.91,79.0,12.0,880.0,0.0,100658.47,29.83,UCCA,6040,-120.36306,39.24583
2,2018-08-07 18:30:00,1.52,ENE,4.07,-3.47,82120.0,102639.95,27.99,67.0,11.0,890.0,0.0,100643.27,30.06,UCCA,6040,-120.36306,39.24583
3,2018-08-07 18:40:00,1.56,ENE,4.47,-3.3,82120.0,102639.95,28.16,64.0,11.0,910.0,0.0,100628.71,30.28,UCCA,6040,-120.36306,39.24583
4,2018-08-07 18:50:00,1.88,NE,6.26,-4.42,82120.0,102639.95,28.2,52.0,10.0,940.0,0.0,100618.19,30.44,UCCA,6040,-120.36306,39.24583
5,2018-08-07 19:00:00,2.1,ENE,6.35,-4.68,82110.0,102627.45,27.95,75.0,10.0,940.0,0.0,100627.75,30.11,UCCA,6040,-120.36306,39.24583
6,2018-08-07 19:10:00,2.37,NE,7.6,-4.55,82110.0,102627.45,28.07,48.0,10.0,950.0,0.0,100616.51,30.28,UCCA,6040,-120.36306,39.24583
7,2018-08-07 19:20:00,2.01,ENE,6.12,-4.68,82100.0,102614.95,27.95,63.0,10.0,940.0,0.0,100615.5,30.11,UCCA,6040,-120.36306,39.24583
8,2018-08-07 19:30:00,2.19,NE,5.9,-4.12,82090.0,102602.45,28.5,50.0,10.0,960.0,0.0,100555.71,30.83,UCCA,6040,-120.36306,39.24583
9,2018-08-07 19:40:00,1.92,ENE,7.33,-3.94,82090.0,102602.45,28.68,58.0,10.0,930.0,0.0,100540.58,31.06,UCCA,6040,-120.36306,39.24583
10,2018-08-07 19:50:00,2.15,NE,5.05,-5.41,82080.0,102589.96,28.49,48.0,9.0,960.0,0.0,100536.28,30.94,UCCA,6040,-120.36306,39.24583
11,2018-08-07 20:00:00,2.41,NE,4.74,-5.36,82090.0,102602.45,28.54,45.0,9.0,960.0,0.0,100544.58,31.0,UCCA,6040,-120.36306,39.24583
12,2018-08-07 20:10:00,1.34,NE,3.44,-5.03,82080.0,102589.96,28.88,52.0,9.0,950.0,0.0,100503.44,31.44,UCCA,6040,-120.36306,39.24583
13,2018-08-07 20:20:00,1.48,NE,3.4,-4.73,82080.0,102589.96,29.19,53.0,9.0,970.0,0.0,100477.91,31.83,UCCA,6040,-120.36306,39.24583
14,2018-08-07 20:30:00,1.7,NE,5.14,-4.93,82080.0,102589.96,28.97,48.0,9.0,950.0,0.0,100495.58,31.56,UCCA,6040,-120.36306,39.24583
15,2018-08-07 20:40:00,0.67,NW,2.06,-0.32,82070.0,102577.46,29.11,318.0,13.0,850.0,0.0,100505.41,31.22,UCCA,6040,-120.36306,39.24583
16,2018-08-07 20:50:00,1.08,NNW,2.59,4.68,82070.0,102577.46,28.95,340.0,19.0,920.0,0.0,100526.78,30.89,UCCA,6040,-120.36306,39.24583
17,2018-08-07 21:00:00,1.56,N,3.98,3.83,82060.0,102564.96,28.82,351.0,18.0,910.0,0.0,100521.83,30.78,UCCA,6040,-120.36306,39.24583
