,road_subsurface_tmp_set_1,date_time,wind_cardinal_direction_set_1d,road_temp_set_1,wind_gust_set_1,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,32.7,2018-08-01 00:00:00,S,33.8,0.56,14.05,30.15,174.0,36.0,0.56,30.8,CTANT,1080,-122.3826,40.8848
1,32.8,2018-08-01 00:15:00,SSE,34.0,0.56,13.35,29.7,168.0,35.0,0.28,30.5,CTANT,1080,-122.3826,40.8848
2,32.8,2018-08-01 00:30:00,SSW,33.9,0.56,13.35,29.7,199.0,35.0,0.28,30.5,CTANT,1080,-122.3826,40.8848
3,32.8,2018-08-01 00:45:00,SSE,33.1,0.56,14.17,29.47,161.0,38.0,0.56,30.0,CTANT,1080,-122.3826,40.8848
4,32.9,2018-08-01 01:00:00,,32.8,0.56,14.48,29.46,,39.0,0.0,29.9,CTANT,1080,-122.3826,40.8848
5,32.9,2018-08-01 01:15:00,,32.4,0.28,14.03,28.93,,39.0,0.0,29.4,CTANT,1080,-122.3826,40.8848
6,33.0,2018-08-01 01:45:00,,31.3,0.0,14.35,28.28,,42.0,0.0,28.5,CTANT,1080,-122.3826,40.8848
7,33.0,2018-08-01 02:00:00,,31.8,0.28,14.45,28.07,,43.0,0.0,28.2,CTANT,1080,-122.3826,40.8848
8,33.1,2018-08-01 02:45:00,SSE,30.1,0.83,14.48,27.27,157.0,46.0,0.56,27.1,CTANT,1080,-122.3826,40.8848
9,33.2,2018-08-01 03:45:00,N,30.5,0.56,15.3,,5.0,53.0,0.83,25.6,CTANT,1080,-122.3826,40.8848
10,33.3,2018-08-01 04:30:00,,28.1,0.83,15.87,,,57.0,0.0,25.0,CTANT,1080,-122.3826,40.8848
11,33.3,2018-08-01 04:45:00,NNW,29.5,2.22,14.58,,345.0,50.0,1.11,25.8,CTANT,1080,-122.3826,40.8848
12,33.3,2018-08-01 05:00:00,N,28.9,2.5,13.85,,351.0,48.0,1.94,25.7,CTANT,1080,-122.3826,40.8848
13,33.4,2018-08-01 05:15:00,NNW,28.3,2.5,13.71,,336.0,49.0,1.11,25.2,CTANT,1080,-122.3826,40.8848
14,33.4,2018-08-01 05:45:00,NNW,27.9,2.5,13.43,,344.0,49.0,1.94,24.9,CTANT,1080,-122.3826,40.8848
15,33.4,2018-08-01 06:15:00,N,27.2,1.94,13.06,,352.0,49.0,0.83,24.5,CTANT,1080,-122.3826,40.8848
16,33.4,2018-08-01 06:45:00,NNW,26.5,2.5,13.0,,335.0,50.0,0.83,24.1,CTANT,1080,-122.3826,40.8848
17,33.4,2018-08-01 07:15:00,NNW,26.4,1.67,13.43,,341.0,53.0,1.39,23.6,CTANT,1080,-122.3826,40.8848
18,33.4,2018-08-01 07:30:00,NNW,26.1,2.78,13.43,,347.0,53.0,1.94,23.6,CTANT,1080,-122.3826,40.8848
19,33.3,2018-08-01 08:00:00,NNW,26.0,2.78,13.44,,345.0,54.0,1.67,23.3,CTANT,1080,-122.3826,40.8848
20,33.3,2018-08-01 09:15:00,NNW,24.7,2.78,12.95,,344.0,58.0,1.94,21.6,CTANT,1080,-122.3826,40.8848
21,33.2,2018-08-01 09:30:00,NNW,24.4,2.5,12.93,,346.0,59.0,1.94,21.3,CTANT,1080,-122.3826,40.8848
22,33.2,2018-08-01 09:45:00,NNW,24.6,3.06,12.51,,338.0,55.0,2.5,22.0,CTANT,1080,-122.3826,40.8848
23,33.2,2018-08-01 10:15:00,NNW,23.6,3.06,12.21,,340.0,57.0,1.67,21.1,CTANT,1080,-122.3826,40.8848
24,33.2,2018-08-01 10:30:00,N,24.1,2.5,11.86,,353.0,55.0,1.39,21.3,CTANT,1080,-122.3826,40.8848
25,33.1,2018-08-01 10:45:00,N,23.3,2.5,12.29,,356.0,58.0,1.67,20.9,CTANT,1080,-122.3826,40.8848
26,33.1,2018-08-01 11:15:00,NNW,23.4,2.78,11.47,,343.0,56.0,1.94,20.6,CTANT,1080,-122.3826,40.8848
27,33.0,2018-08-01 11:30:00,NNW,23.5,3.61,10.92,,345.0,53.0,3.06,20.9,CTANT,1080,-122.3826,40.8848
28,32.9,2018-08-01 12:30:00,NW,23.2,3.06,10.45,,317.0,52.0,2.78,20.7,CTANT,1080,-122.3826,40.8848
29,32.9,2018-08-01 12:45:00,NNW,22.5,3.06,10.72,,333.0,56.0,1.94,19.8,CTANT,1080,-122.3826,40.8848
30,32.8,2018-08-01 13:15:00,N,22.5,3.33,10.72,,349.0,56.0,2.5,19.8,CTANT,1080,-122.3826,40.8848
31,32.8,2018-08-01 13:30:00,NNW,22.7,3.33,10.17,,348.0,52.0,3.06,20.4,CTANT,1080,-122.3826,40.8848
32,32.7,2018-08-01 13:45:00,NNW,22.5,3.33,10.45,,347.0,55.0,2.5,19.8,CTANT,1080,-122.3826,40.8848
33,32.6,2018-08-01 14:30:00,NNW,23.2,3.89,9.95,,346.0,50.0,2.5,20.8,CTANT,1080,-122.3826,40.8848
34,32.6,2018-08-01 14:45:00,N,23.1,3.61,10.34,,352.0,51.0,2.5,20.9,CTANT,1080,-122.3826,40.8848
35,32.5,2018-08-01 15:15:00,NNW,24.2,3.61,10.41,,338.0,47.0,2.78,22.3,CTANT,1080,-122.3826,40.8848
36,32.4,2018-08-01 15:45:00,NNW,26.4,2.5,10.26,,338.0,43.0,2.5,23.6,CTANT,1080,-122.3826,40.8848
37,32.4,2018-08-01 16:00:00,N,26.9,3.06,10.54,,350.0,42.0,2.5,24.3,CTANT,1080,-122.3826,40.8848
38,32.3,2018-08-01 16:15:00,N,27.8,2.78,11.0,,2.0,42.0,1.67,24.8,CTANT,1080,-122.3826,40.8848
39,32.3,2018-08-01 16:30:00,NNW,28.8,2.22,10.81,,345.0,40.0,0.83,25.4,CTANT,1080,-122.3826,40.8848
40,32.2,2018-08-01 16:45:00,NNW,29.8,1.94,10.53,,332.0,37.0,1.11,26.4,CTANT,1080,-122.3826,40.8848
41,32.2,2018-08-01 17:15:00,NNW,31.7,1.94,10.86,27.12,344.0,35.0,1.39,27.7,CTANT,1080,-122.3826,40.8848
42,32.1,2018-08-01 17:30:00,NNW,32.6,1.67,10.23,27.58,332.0,32.0,0.83,28.5,CTANT,1080,-122.3826,40.8848
43,32.1,2018-08-01 17:45:00,N,33.8,1.39,10.1,27.85,355.0,31.0,1.39,28.9,CTANT,1080,-122.3826,40.8848
44,32.0,2018-08-01 18:15:00,SSE,35.0,1.39,13.16,29.06,162.0,36.0,0.83,29.8,CTANT,1080,-122.3826,40.8848
45,32.0,2018-08-01 18:30:00,SSW,35.5,1.94,13.07,28.95,206.0,36.0,1.94,29.7,CTANT,1080,-122.3826,40.8848
46,31.9,2018-08-01 18:45:00,SSE,35.8,2.5,13.34,29.26,166.0,36.0,0.83,30.0,CTANT,1080,-122.3826,40.8848
47,31.9,2018-08-01 19:15:00,S,37.3,2.5,13.44,30.26,190.0,34.0,1.39,31.1,CTANT,1080,-122.3826,40.8848
48,31.9,2018-08-01 19:30:00,SSE,38.4,1.67,13.6,30.95,158.0,33.0,1.11,31.8,CTANT,1080,-122.3826,40.8848
49,31.9,2018-08-01 19:45:00,SE,39.2,2.78,13.78,31.19,125.0,33.0,1.39,32.0,CTANT,1080,-122.3826,40.8848
50,31.9,2018-08-01 20:00:00,SE,40.0,2.5,13.48,31.3,129.0,32.0,1.39,32.2,CTANT,1080,-122.3826,40.8848
51,31.9,2018-08-01 20:15:00,S,40.4,2.22,13.53,31.89,190.0,31.0,0.56,32.8,CTANT,1080,-122.3826,40.8848
52,31.9,2018-08-01 20:45:00,SE,39.4,1.67,13.53,31.89,124.0,31.0,1.39,32.8,CTANT,1080,-122.3826,40.8848
53,31.9,2018-08-01 21:00:00,SW,38.8,2.22,14.19,32.3,214.0,32.0,1.11,33.0,CTANT,1080,-122.3826,40.8848
54,31.9,2018-08-01 21:15:00,SSE,40.4,1.67,13.55,32.5,152.0,30.0,0.56,33.4,CTANT,1080,-122.3826,40.8848
55,31.9,2018-08-01 21:45:00,SSW,39.8,1.67,13.3,32.73,198.0,29.0,0.28,33.7,CTANT,1080,-122.3826,40.8848
56,31.9,2018-08-01 22:00:00,SW,39.4,0.83,13.47,32.99,218.0,29.0,0.28,33.9,CTANT,1080,-122.3826,40.8848
57,32.0,2018-08-01 22:15:00,WSW,39.6,0.83,13.54,33.74,245.0,28.0,0.56,34.6,CTANT,1080,-122.3826,40.8848
58,32.0,2018-08-01 22:30:00,SW,38.4,1.11,13.38,32.86,222.0,29.0,0.28,33.8,CTANT,1080,-122.3826,40.8848
59,32.0,2018-08-01 22:45:00,N,39.2,1.11,13.82,33.51,349.0,29.0,0.28,34.3,CTANT,1080,-122.3826,40.8848
60,32.1,2018-08-01 23:00:00,NW,38.6,0.83,13.37,33.47,309.0,28.0,0.28,34.4,CTANT,1080,-122.3826,40.8848
61,32.1,2018-08-01 23:15:00,SW,38.2,1.39,13.2,33.21,219.0,28.0,0.28,34.2,CTANT,1080,-122.3826,40.8848
62,32.2,2018-08-01 23:30:00,S,38.5,0.56,13.64,33.25,175.0,29.0,0.56,34.1,CTANT,1080,-122.3826,40.8848
63,32.2,2018-08-01 23:45:00,SE,38.6,0.83,13.56,33.12,138.0,29.0,0.56,34.0,CTANT,1080,-122.3826,40.8848
64,32.2,2018-08-02 00:00:00,S,37.7,1.39,12.76,32.58,189.0,28.0,0.83,33.7,CTANT,1080,-122.3826,40.8848
65,32.3,2018-08-02 00:15:00,SSE,38.4,1.39,11.99,32.78,154.0,26.0,0.56,34.1,CTANT,1080,-122.3826,40.8848
66,32.4,2018-08-02 00:45:00,SSW,36.0,0.83,14.01,32.04,204.0,32.0,0.28,32.8,CTANT,1080,-122.3826,40.8848
67,32.5,2018-08-02 01:15:00,SSW,34.5,0.56,13.62,30.48,202.0,34.0,0.56,31.3,CTANT,1080,-122.3826,40.8848
68,32.6,2018-08-02 01:30:00,SSW,34.5,0.56,13.88,30.37,209.0,35.0,0.28,31.1,CTANT,1080,-122.3826,40.8848
69,32.6,2018-08-02 01:45:00,S,33.8,0.56,13.78,29.81,189.0,36.0,0.28,30.5,CTANT,1080,-122.3826,40.8848
70,32.7,2018-08-02 02:00:00,SE,33.6,0.83,13.76,29.36,136.0,37.0,0.56,30.0,CTANT,1080,-122.3826,40.8848
71,32.7,2018-08-02 02:15:00,SSE,33.1,1.11,13.49,29.05,158.0,37.0,0.56,29.7,CTANT,1080,-122.3826,40.8848
72,32.8,2018-08-02 02:30:00,SSE,33.0,0.83,14.24,28.81,154.0,40.0,0.56,29.2,CTANT,1080,-122.3826,40.8848
73,32.8,2018-08-02 02:45:00,SSW,31.8,0.56,14.9,28.57,212.0,43.0,0.28,28.7,CTANT,1080,-122.3826,40.8848
74,32.9,2018-08-02 03:00:00,SSE,30.9,0.83,14.35,27.97,162.0,43.0,0.56,28.1,CTANT,1080,-122.3826,40.8848
75,32.9,2018-08-02 03:15:00,SE,30.2,0.56,13.45,27.37,142.0,42.0,0.28,27.5,CTANT,1080,-122.3826,40.8848
76,33.0,2018-08-02 03:45:00,,31.2,0.83,13.62,26.99,,44.0,0.0,26.9,CTANT,1080,-122.3826,40.8848
77,33.1,2018-08-02 04:15:00,,29.5,0.56,11.9,,,43.0,0.0,25.4,CTANT,1080,-122.3826,40.8848
78,33.1,2018-08-02 04:45:00,SE,28.2,0.56,12.75,,137.0,48.0,0.28,24.5,CTANT,1080,-122.3826,40.8848
79,33.2,2018-08-02 05:15:00,E,27.9,0.28,12.33,,95.0,49.0,0.28,23.7,CTANT,1080,-122.3826,40.8848
80,33.2,2018-08-02 05:30:00,,27.5,0.0,13.43,,,53.0,0.0,23.6,CTANT,1080,-122.3826,40.8848
81,33.3,2018-08-02 05:45:00,,27.9,0.28,13.82,,,55.0,0.0,23.4,CTANT,1080,-122.3826,40.8848
82,33.3,2018-08-02 06:15:00,N,28.2,1.39,13.62,,9.0,53.0,1.11,23.8,CTANT,1080,-122.3826,40.8848
83,33.3,2018-08-02 06:45:00,NNE,26.7,1.39,13.14,,17.0,52.0,0.56,23.6,CTANT,1080,-122.3826,40.8848
84,33.3,2018-08-02 07:00:00,N,26.5,1.39,12.97,,4.0,53.0,0.28,23.1,CTANT,1080,-122.3826,40.8848
85,33.3,2018-08-02 07:15:00,NNE,25.4,0.56,12.88,,18.0,56.0,0.28,22.1,CTANT,1080,-122.3826,40.8848
86,33.3,2018-08-02 07:45:00,N,26.7,2.22,12.86,,5.0,52.0,0.83,23.3,CTANT,1080,-122.3826,40.8848
87,33.3,2018-08-02 08:00:00,N,26.1,1.94,12.78,,354.0,53.0,0.83,22.9,CTANT,1080,-122.3826,40.8848
88,33.3,2018-08-02 08:15:00,N,25.6,2.22,12.6,,352.0,53.0,1.39,22.7,CTANT,1080,-122.3826,40.8848
89,33.3,2018-08-02 08:30:00,NNE,25.3,2.5,12.79,,12.0,55.0,0.83,22.3,CTANT,1080,-122.3826,40.8848
90,33.3,2018-08-02 08:45:00,NNW,24.7,1.67,12.78,,342.0,57.0,1.39,21.7,CTANT,1080,-122.3826,40.8848
91,33.2,2018-08-02 09:00:00,N,24.7,2.78,12.69,,353.0,56.0,1.94,21.9,CTANT,1080,-122.3826,40.8848
92,33.2,2018-08-02 09:45:00,NNW,23.9,3.33,12.36,,340.0,59.0,1.94,20.7,CTANT,1080,-122.3826,40.8848
93,33.2,2018-08-02 10:00:00,NNW,24.0,2.5,11.84,,339.0,57.0,1.94,20.7,CTANT,1080,-122.3826,40.8848
94,33.2,2018-08-02 10:15:00,NNW,23.5,2.5,11.89,,341.0,59.0,1.39,20.2,CTANT,1080,-122.3826,40.8848
95,33.1,2018-08-02 10:30:00,NNW,23.6,2.5,11.54,,336.0,58.0,1.94,20.1,CTANT,1080,-122.3826,40.8848
